Latitude,Longitude,pCO2_ppm,temperature_degC,salinity_PSU,Chlorophyll_mgPerm3,year,month,day,hour,minute
42.8340295238095,-9.36823333333333,NaN,18.1815714285714,35.0545714285714,7.41115085714286,2018,7,6,20,2
42.8320357142857,-9.36596261904762,NaN,18.203,35.0527142857143,7.40122142857143,2018,7,6,20,3
42.8300228571429,-9.36363880952381,NaN,18.1918571428571,35.0531428571429,7.419391,2018,7,6,20,4
42.8280219047619,-9.36131023809524,NaN,18.343,34.9604285714286,7.52130071428571,2018,7,6,20,5
42.8260295238095,-9.35893071428571,NaN,18.4418571428571,34.9442857142857,7.62899914285714,2018,7,6,20,6
42.8239107142857,-9.35651904761905,NaN,18.4511428571429,34.9685714285714,7.60556485714286,2018,7,6,20,7
42.8218119047619,-9.35425571428571,NaN,18.4471428571429,34.985,7.60611057142857,2018,7,6,20,8
42.8197423809524,-9.35192333333333,NaN,18.4255714285714,35.0141428571429,7.57710114285714,2018,7,6,20,9
42.8177688095238,-9.3495269047619,NaN,18.3432857142857,35.1005714285714,7.53556357142857,2018,7,6,20,10
42.8157804761905,-9.34704119047619,NaN,18.1774285714286,35.1752857142857,7.48018814285714,2018,7,6,20,11
42.8137176190476,-9.34449214285714,NaN,18.0175714285714,35.2111428571429,7.40785485714286,2018,7,6,20,12
42.8115857142857,-9.34176666666667,NaN,17.977,35.1918571428571,7.46274085714286,2018,7,6,20,13
42.8094942857143,-9.33915071428571,NaN,18.0035714285714,35.1784285714286,7.49991528571429,2018,7,6,20,14
42.8074119047619,-9.33656928571429,NaN,17.8864285714286,35.2412857142857,7.41075557142857,2018,7,6,20,15
42.8054023809524,-9.33400142857143,NaN,17.7925714285714,35.2432857142857,7.299119,2018,7,6,20,16
42.8033642857143,-9.33146666666667,NaN,17.7935714285714,35.2281428571429,7.31958571428571,2018,7,6,20,17
42.8015026190476,-9.32925642857143,NaN,17.7888571428571,35.2361428571429,7.32084628571429,2018,7,6,20,18
42.7997942857143,-9.32708714285714,NaN,17.7712857142857,35.2358571428571,7.30704028571428,2018,7,6,20,19
42.7981795238095,-9.32474595238095,NaN,17.8164285714286,35.2252857142857,7.24918,2018,7,6,20,20
42.7965666666667,-9.32239166666667,NaN,17.8331428571429,35.2361428571429,7.24282042857143,2018,7,6,20,21
42.79494,-9.32014333333333,NaN,17.7358571428571,35.2772857142857,7.26603985714286,2018,7,6,20,22
42.7933478571429,-9.31808523809524,NaN,17.5878571428571,35.2775714285714,7.31208057142857,2018,7,6,20,23
42.7918502380952,-9.31618738095238,NaN,17.487,35.2677142857143,7.30270042857143,2018,7,6,20,24
42.7903864285714,-9.31414833333333,NaN,17.4795714285714,35.245,7.28223142857143,2018,7,6,20,25
42.7889547619047,-9.31202309523809,NaN,17.6191428571429,35.2004285714286,7.248764,2018,7,6,20,26
42.7875242857143,-9.31001809523809,NaN,17.731,35.2014285714286,7.27741228571429,2018,7,6,20,27
42.7861385714286,-9.30791,NaN,17.6957142857143,35.2424285714286,7.354706,2018,7,6,20,28
42.7847645238095,-9.30578,NaN,17.617,35.2487142857143,7.32516385714286,2018,7,6,20,29
42.7834666666667,-9.30369904761905,NaN,17.5522857142857,35.2487142857143,7.26929771428571,2018,7,6,20,30
42.7821388095238,-9.30184309523809,NaN,17.6068571428571,35.2214285714286,7.33273985714286,2018,7,6,20,31
42.7803002380952,-9.3008169047619,NaN,17.6354285714286,35.2301428571429,7.34857614285714,2018,7,6,20,32
42.7779819047619,-9.30079452380953,NaN,17.663,35.2204285714286,7.37904885714286,2018,7,6,20,33
42.7756104761905,-9.30111404761905,NaN,17.7242857142857,35.2142857142857,7.40194771428571,2018,7,6,20,34
42.7732204761905,-9.30140142857143,NaN,17.7551428571429,35.2214285714286,7.38161314285714,2018,7,6,20,35
42.7708185714286,-9.3016569047619,NaN,17.761,35.2395714285714,7.33381028571429,2018,7,6,20,36
42.7684197619048,-9.30192857142857,NaN,17.7087142857143,35.2662857142857,7.32995014285714,2018,7,6,20,37
42.7660335714286,-9.30222,NaN,17.6018571428571,35.2967142857143,7.35573057142857,2018,7,6,20,38
42.7636252380952,-9.30252071428571,NaN,17.5498571428571,35.2761428571429,7.35167557142857,2018,7,6,20,39
42.7611778571429,-9.30278761904762,NaN,17.5795714285714,35.251,7.34885342857143,2018,7,6,20,40
42.7587852380952,-9.30308642857143,NaN,17.5482857142857,35.2774285714286,7.32355171428571,2018,7,6,20,41
42.7564111904762,-9.3033680952381,NaN,17.5097142857143,35.2771428571428,7.26618828571429,2018,7,6,20,42
42.7539833333333,-9.30364404761905,NaN,17.5112857142857,35.2582857142857,7.24352842857143,2018,7,6,20,43
42.7515604761905,-9.3039780952381,NaN,17.5434285714286,35.2437142857143,7.33670171428571,2018,7,6,20,44
42.7491854761905,-9.304295,NaN,17.5837142857143,35.239,7.31084671428571,2018,7,6,20,45
42.7467947619048,-9.30457571428571,NaN,17.6035714285714,35.2381428571429,7.28845657142857,2018,7,6,20,46
